instance,random_violations,random_cost,random_time_s,aco_violations,aco_cost,aco_time_s,improvement_abs,improvement_pct
i01,0,4833,271.587,0,4640,554.550,193,3.99
i02,0,1960,551.307,0,1840,554.007,120,6.12
i03,0,11675,334.024,0,11335,555.060,340,2.91
i04,0,4590,551.613,0,4822,555.127,-232,-5.05
i05,0,16596,551.238,0,15660,551.882,936,5.64
i06,0,11744,551.301,0,11551,552.131,193,1.64
i07,0,8595,554.029,0,8098,552.666,497,5.78
i08,0,13199,553.879,0,15615,552.653,-2416,-18.30
i09,0,10212,553.873,0,10211,551.625,1,0.01
i10,0,29400,554.016,0,27965,552.199,1435,4.88
i11,0,31039,551.592,0,31341,552.172,-302,-0.97
i12,0,17345,551.216,0,16655,551.746,690,3.98
i13,0,25879,551.359,0,24594,554.932,1285,4.97
i14,0,15551,551.249,0,14676,554.836,875,5.63
i15,0,22453,552.473,0,21094,555.165,1359,6.05
i16,0,18287,552.615,0,17752,555.170,535,2.93
i17,0,74330,552.720,0,69980,552.286,4350,5.85
i18,0,50519,552.536,0,48738,552.766,1781,3.53
i19,0,80118,553.947,0,79885,552.500,233,0.29
i20,0,42876,553.788,0,40989,552.632,1887,4.40
i21,0,42533,553.862,0,40021,554.788,2512,5.91
i22,0,95334,553.965,0,88489,555.326,6845,7.18
i23,0,67848,551.839,0,68338,555.017,-490,-0.72
i24,0,44425,551.687,0,42999,555.361,1426,3.21
i25,0,19285,551.865,0,17595,552.781,1690,8.76
i26,0,107646,551.330,0,107079,552.822,567,0.53
i27,0,106586,553.961,0,99816,552.890,6770,6.35
i28,0,90065,553.876,0,88297,552.783,1768,1.96
i29,0,23126,551.333,0,22605,552.835,521,2.25
i30,0,58804,551.491,0,57785,552.455,1019,1.73
