instance,best_violations,best_cost,aco_violations,aco_cost,random_violations,random_cost,aco_gap_pct,random_gap_pct,aco_minus_random
i01,0,3842,0,4330,0,4833,12.70,25.79,-503
i02,0,1264,0,1901,0,1960,50.40,55.06,-59
i03,0,10490,0,11150,0,11675,6.29,11.30,-525
i04,0,1884,0,4658,0,4590,147.24,143.63,68
i05,0,12760,0,15904,0,16596,24.64,30.06,-692
i06,0,10671,0,11465,0,11744,7.44,10.06,-279
i07,0,5026,0,8064,0,8595,60.45,71.01,-531
i08,0,6291,0,16877,0,13199,168.27,109.81,3678
i09,0,6682,0,10275,0,10212,53.77,52.83,63
i10,0,20820,0,27630,0,29400,32.71,41.21,-1770
i11,0,25938,0,29900,0,31039,15.27,19.67,-1139
i12,0,12430,0,16455,0,17345,32.38,39.54,-890
i13,0,17328,0,23856,0,25879,37.67,49.35,-2023
i14,0,9746,0,13922,0,15551,42.85,59.56,-1629
i15,0,12486,0,20280,0,22453,62.42,79.83,-2173
i16,0,10139,0,15920,0,18287,57.02,80.36,-2367
i17,0,40535,0,65765,0,74330,62.24,83.37,-8565
i18,0,37660,0,47592,0,50519,26.37,34.14,-2927
i19,0,44587,0,79081,0,80118,77.36,79.69,-1037
i20,0,29098,0,40114,0,42876,37.86,47.35,-2762
i21,0,24703,0,37236,0,42533,50.73,72.18,-5297
i22,0,47861,0,85405,0,95334,78.44,99.19,-9929
i23,0,37550,0,67627,0,67848,80.10,80.69,-221
i24,0,33221,0,42477,0,44425,27.86,33.73,-1948
i25,0,11517,0,16722,0,19285,45.19,67.45,-2563
i26,0,64613,0,103732,0,107646,60.54,66.60,-3914
i27,0,51828,0,97948,0,106586,88.99,105.65,-8638
i28,0,75172,0,86910,0,90065,15.61,19.81,-3155
i29,0,12475,0,20476,0,23126,64.14,85.38,-2650
i30,0,37943,0,56546,0,58804,49.03,54.98,-2258
